
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 28ms (compile: 2ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 7ms, render: 19ms)
 GET /login 200 in 27ms (compile: 2ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 40ms (compile: 4ms, proxy.ts: 5ms, render: 31ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 25ms (compile: 4ms, proxy.ts: 3ms, render: 17ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 3ms, render: 18ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 3ms, render: 19ms)
 GET /login 200 in 28ms (compile: 6ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 42ms (compile: 4ms, proxy.ts: 4ms, render: 35ms)
 GET /login 200 in 21ms (compile: 4ms, proxy.ts: 4ms, render: 13ms)
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\server\app\api\health\[__metadata_id__]\route\app-paths-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\server\\app\\api\\health\\[__metadata_id__]\\route\\app-paths-manifest.json'
}
 GET /api/health 500 in 856ms (compile: 751ms, proxy.ts: 4ms, render: 101ms)
 GET /login 200 in 190ms (compile: 112ms, proxy.ts: 33ms, render: 44ms)
 GET /login 200 in 52ms (compile: 7ms, proxy.ts: 6ms, render: 39ms)
 GET /login 200 in 63ms (compile: 3ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 26ms (compile: 5ms, proxy.ts: 5ms, render: 16ms)
 GET /login 200 in 46ms (compile: 3ms, proxy.ts: 7ms, render: 36ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 28ms (compile: 5ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 34ms (compile: 2ms, proxy.ts: 4ms, render: 28ms)
