▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 63ms (compile: 6ms, proxy.ts: 5ms, render: 52ms)
 GET /test-phase-transition 200 in 74ms (compile: 5ms, proxy.ts: 7ms, render: 63ms)
 GET /test-phase-transition 200 in 51ms (compile: 5ms, proxy.ts: 14ms, render: 32ms)
 GET /test-phase-transition 200 in 60ms (compile: 6ms, proxy.ts: 9ms, render: 45ms)
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 38ms (compile: 5ms, proxy.ts: 5ms, render: 29ms)
 GET /test-phase-transition 200 in 79ms (compile: 9ms, proxy.ts: 6ms, render: 65ms)
 GET /test-phase-transition 200 in 71ms (compile: 6ms, proxy.ts: 7ms, render: 58ms)
 GET /test-phase-transition 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-phase-transition 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /test-phase-transition 200 in 41ms (compile: 6ms, proxy.ts: 7ms, render: 28ms)
 GET /test-phase-transition 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-phase-transition 200 in 57ms (compile: 3ms, proxy.ts: 7ms, render: 47ms)
 GET /test-phase-transition 200 in 66ms (compile: 5ms, proxy.ts: 5ms, render: 56ms)
 GET /test-phase-transition 200 in 65ms (compile: 6ms, proxy.ts: 10ms, render: 49ms)
 GET /test-phase-transition 200 in 38ms (compile: 5ms, proxy.ts: 5ms, render: 28ms)
 GET /test-phase-transition 200 in 41ms (compile: 5ms, proxy.ts: 5ms, render: 31ms)
 GET /test-phase-transition 200 in 72ms (compile: 7ms, proxy.ts: 7ms, render: 59ms)
 GET /test-phase-transition 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /test-phase-transition 200 in 73ms (compile: 6ms, proxy.ts: 8ms, render: 59ms)
 GET /test-phase-transition 200 in 64ms (compile: 5ms, proxy.ts: 7ms, render: 52ms)
 GET /test-phase-transition 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /test-phase-transition 200 in 66ms (compile: 4ms, proxy.ts: 8ms, render: 54ms)
 GET /test-phase-transition 200 in 66ms (compile: 6ms, proxy.ts: 8ms, render: 53ms)
 GET /test-phase-transition 200 in 69ms (compile: 5ms, proxy.ts: 9ms, render: 54ms)
 GET /test-phase-transition 200 in 64ms (compile: 4ms, proxy.ts: 7ms, render: 53ms)
